Timestep[1] 	 x_error[2] 	 command_torques[4] 	 joint_gravity[4] 	 effective_joint_gravity[4] 	 alpha[1]
0.110056	1.50141e-05 0.000412062	 63.845 33.5261  14.273 3.96156	65.6266 34.4892 14.4172 4.02192	20.3866 12.8023 10.2099 2.61186	-0.727666	
0.111062	1.50604e-05 0.000411767	63.8371 33.5215 14.2716 3.96124	65.6266 34.4892 14.4172 4.02192	20.3866 12.8023 10.2099 2.61186	-0.727666	
0.112111	1.50604e-05 0.000411767	63.8295  33.517 14.2701 3.96093	65.6264 34.4887 14.4171 4.02201	20.3858 12.8017 10.2096 2.61193	-0.727666	
0.113095	 1.5153e-05 0.000411035	63.8205 33.5114 14.2676 3.96045	65.6261 34.4877 14.4169 4.02221	20.3832    12.8 10.2089 2.61193	-0.727666	
0.114111	1.51911e-05 0.000410676	63.8205 33.5114 14.2676 3.96045	65.6259 34.4873 14.4168  4.0223	 20.383    12.8  10.209 2.61214	-0.727666	
0.115109	1.52281e-05 0.000410291	63.8073  33.504  14.266 3.96005	65.6258 34.4868 14.4167 4.02239	65.6258 34.4868 14.4167 4.02239	-0.727666	
0.116108	1.52719e-05 0.000409786	63.7938 33.4959 14.2633 3.95952	65.6256 34.4863 14.4165  4.0225	20.3812 12.7988 10.2086 2.61228	-0.727666	
0.117059	 1.5314e-05 0.000409242	63.7938 33.4959 14.2633 3.95952	65.6256 34.4863 14.4165  4.0225	20.3812 12.7988 10.2086 2.61228	-0.727666	
0.118074	1.53475e-05 0.000408769	63.7933 33.4952 14.2623 3.95939	65.6253 34.4853 14.4163 4.02271	65.6253 34.4853 14.4163 4.02271	-0.727666	
0.119056	1.53835e-05 0.000408216	63.7808 33.4881 14.2608 3.95903	65.6253 34.4853 14.4163 4.02271	20.3792 12.7975 10.2081 2.61242	-0.727666	
0.120058	1.53835e-05 0.000408216	63.7746 33.4844 14.2595  3.9588	65.6251 34.4848 14.4162 4.02281	20.3782 12.7969 10.2079 2.61249	-0.727666	
0.121059	1.54522e-05 0.000407023	63.7747  33.484 14.2586  3.9587	65.6248 34.4837  14.416 4.02302	65.6248 34.4837  14.416 4.02302	-0.727666	
0.12206	1.54849e-05 0.000406384	63.7627 33.4771 14.2571 3.95837	65.6246 34.4832 14.4158 4.02313	65.6246 34.4832 14.4158 4.02313	-0.727666	
0.123058	1.55165e-05 0.000405717	 63.757 33.4737  14.256 3.95817	65.6244 34.4826 14.4157 4.02324	65.6244 34.4826 14.4157 4.02324	-0.727666	
0.124057	1.55471e-05 0.000405023	63.7516 33.4703 14.2548 3.95797	65.6244 34.4826 14.4157 4.02324	20.3742 12.7943 10.2069 2.61279	-0.727666	
0.125056	1.55766e-05 0.000404303	63.7462  33.467 14.2537 3.95779	65.6242 34.4821 14.4156 4.02335	20.3731 12.7936 10.2066 2.61287	-0.727666	
0.126058	1.56052e-05 0.000403558	63.7411 33.4638 14.2526 3.95762	 65.624 34.4815 14.4155 4.02346	65.6238  34.481 14.4153 4.02358	-0.727666	
0.127063	1.56328e-05 0.000402787	63.7361 33.4607 14.2515 3.95745	65.6238  34.481 14.4153 4.02358	 20.371 12.7922 10.2061 2.61303	-0.727666	
0.128069	1.56328e-05 0.000402787	63.7313 33.4577 14.2505  3.9573	65.6236 34.4804 14.4152 4.02369	20.3699 12.7915 10.2059  2.6131	-0.727666	
0.129075	1.56853e-05 0.000401171	63.7267 33.4547 14.2494 3.95715	65.6233 34.4792  14.415 4.02393	20.3677 12.7901 10.2053 2.61327	-0.727666	
0.130129	1.57102e-05 0.000400327	63.7178 33.4491 14.2474 3.95688	65.6231 34.4787 14.4148 4.02404	20.3666 12.7893 10.2051 2.61335	-0.727666	
0.131091	1.57367e-05 0.000399373	63.7178 33.4491 14.2474 3.95688	65.6231 34.4787 14.4148 4.02404	20.3666 12.7893 10.2051 2.61335	-0.727666	
0.132147	1.57367e-05 0.000399373	  63.72 33.4497 14.2468 3.95689	65.6228  34.478 14.4147 4.02418	20.3646  12.788 10.2044 2.61329	-0.727666	
0.133121	 1.5783e-05 0.000397569	63.7158  33.447 14.2458 3.95678	65.6226 34.4774 14.4145  4.0243	65.6224 34.4768 14.4144 4.02442	-0.727666	
0.134117	 1.5783e-05 0.000397569	63.7118 33.4444 14.2449 3.95668	65.6224 34.4768 14.4144 4.02442	20.3623 12.7865 10.2038 2.61347	-0.727666	
0.135116	1.58255e-05 0.000395777	63.7014 33.4384 14.2437 3.95644	65.6222 34.4762 14.4143 4.02453	 65.622 34.4756 14.4141 4.02466	-0.727666	
0.136118	1.58255e-05 0.000395777	63.6977 33.4359 14.2428 3.95635	 65.622 34.4756 14.4141 4.02466	20.3608 12.7856 10.2037 2.61378	-0.727666	
0.137116	1.58472e-05 0.000394804	63.6942 33.4335 14.2419 3.95627	65.6218  34.475  14.414 4.02478	20.3596 12.7848 10.2034 2.61387	-0.727666	
0.138125	1.58706e-05 0.000393711	63.6974 33.4346 14.2413 3.95634	65.6216 34.4743 14.4139 4.02492	20.3575 12.7835 10.2027 2.61382	-0.727666	
0.139116	1.58895e-05 0.000392798	63.6876 33.4289 14.2402 3.95613	65.6214 34.4737 14.4137 4.02504	20.3572 12.7833 10.2028 2.61405	-0.727666	
0.140116	1.59102e-05 0.000391767	63.6844 33.4267 14.2393 3.95608	65.6212 34.4731 14.4136 4.02517	20.3559 12.7825 10.2025 2.61414	-0.727666	
0.141121	1.59509e-05 0.000389648	63.6814 33.4246 14.2385 3.95603	 65.621 34.4725 14.4134  4.0253	20.3547 12.7817 10.2022 2.61423	-0.727666	
0.142102	1.59509e-05 0.000389648	63.6786 33.4225 14.2377 3.95598	65.6207 34.4718 14.4133 4.02543	20.3534 12.7808 10.2019 2.61432	-0.727666	
0.143104	1.59926e-05 0.000387346	63.6759 33.4206  14.237 3.95595	65.6205 34.4711 14.4132 4.02557	20.3522   12.78 10.2016 2.61441	-0.727666	
