Timestep 	 x[2] 	 x_desired[2] 	 command torques[5] 	 f contact[2]
0.188064	    3.324 -0.299829	  3.33741 -0.187586	 43.0344  48.7407  20.5354  6.36974 -3.01488	-2.609e-12   -7.84041
0.189078	  3.32456 -0.299822	  3.33741 -0.187586	  43.085  48.8994  20.7153  6.25837 -2.98529	-2.53824e-12     -7.87049
0.190083	  3.32521 -0.299814	  3.33785 -0.187586	 43.1494  49.0558  20.7964  6.31634 -2.99388	-2.46822e-12     -7.89972
0.191073	  3.32582 -0.299809	  3.33831 -0.187586	43.2062 49.2009 20.9159 6.29579 -2.9847	-2.37616e-12     -7.92807
0.192079	  3.32638 -0.299802	  3.33874 -0.187586	 43.2545  49.3499   21.088  6.18447 -2.95644	-2.28318e-12     -7.95554
0.193076	  3.32702 -0.299795	  3.33919 -0.187586	 43.3156  49.4938  21.1628  6.23761 -2.96464	-2.21157e-12     -7.98221
0.194107	 3.32756 -0.29979	  3.34008 -0.187586	  43.369  49.6253  21.2714  6.21754 -2.95686	-2.17711e-12     -8.00809
0.195107	  3.32822 -0.299783	  3.34008 -0.187586	43.4207 49.7667 21.3932 6.18178 -2.9465	-2.11373e-12      -8.0332
0.19608	  3.32879 -0.299778	  3.34052 -0.187586	 43.4707  49.8831  21.4918  6.16088 -2.93913	-2.01293e-12     -8.05758
0.197108	  3.32938 -0.299771	  3.34096 -0.187586	 43.5199  50.0095  21.6016   6.1284 -2.93006	-1.93638e-12     -8.08125
0.198107	  3.32996 -0.299768	  3.34141 -0.187586	43.5675 50.1301 21.7097 6.09165 -2.9204	-1.87441e-12     -8.10422
0.199078	  3.33048 -0.299762	  3.34185 -0.187586	 43.6155   50.245   21.802  6.07508 -2.91544	-1.79943e-12     -8.12655
0.200098	  3.33105 -0.299756	  3.34273 -0.187586	 43.6633  50.3665  21.9002   6.0537 -2.90993	-1.76334e-12     -8.14828
0.201075	  3.33168 -0.299751	  3.34273 -0.187586	43.7089 50.4736  21.989 6.03267 -2.9047	-1.77594e-12     -8.16942
0.202122	  3.33219 -0.299746	  3.34361 -0.187586	 43.7496  50.5633  22.0753  5.99519 -2.89638	-1.82303e-12     -8.18998
0.203072	  3.33281 -0.299739	  3.34361 -0.187586	 43.7943  50.6729  22.1647  5.97337 -2.89169	-1.85565e-12        -8.21
0.204073	  3.33331 -0.299735	  3.34405 -0.187586	 43.8345  50.7554   22.236  5.95238 -2.88755	-1.85952e-12     -8.22949
0.205121	  3.33386 -0.299731	  3.34494 -0.187586	 43.8764  50.8608  22.3305  5.91511 -2.88025	-1.86743e-12     -8.24846
