Timestep 	 x_error[2] 	 command torques[5] 	 f contact[2]
0.127058	0.0333023  0.112229	 38.0625  31.3378  6.15039  7.80033 -4.83537	2.39903e-10    -7.10055
0.128058	0.0327333  0.112223	38.1962 31.8557 6.56503 7.77468 -4.7889	-3.65329e-10     -7.13218
0.129058	0.0322406  0.112217	 38.3214  32.3381  6.94983  7.74882 -4.74567	-0 -0
0.130056	0.0319219  0.112215	 38.3446  32.5049   7.1559  7.61824 -4.68169	-0 -0
0.131055	0.0312724  0.112228	 38.3952  32.7784  7.46239  7.47408 -4.60477	3.77345e-10    -7.20886
0.132055	0.0306379  0.112243	38.5482 33.3211 7.84369 7.54992 -4.5841	-8.43909e-11     -7.22246
0.133054	0.0301564   0.11225	 38.6719  33.7867  8.21437  7.52699 -4.54393	7.23065e-11    -7.22601
0.134055	0.0297205  0.112257	 38.7844  34.2279  8.59673  7.44811 -4.49082	-4.05354e-11     -7.29025
0.135055	0.0291467  0.112265	 38.9208  34.7207  8.96897  7.46782 -4.45939	8.5252e-11   -7.31234
0.136054	0.0287143  0.112272	 39.0376  35.1537  9.31407   7.4444 -4.42207	-5.30668e-11     -7.33991
0.137054	0.0282308  0.112281	 39.1568  35.5979   9.6775  7.40798 -4.38007	3.27677e-11    -7.37078
0.138055	0.0278533  0.112287	  39.267  36.0027  9.99937  7.38445 -4.34551	-1.03042e-10     -7.39761
0.13906	0.0274709  0.112296	 39.3759  36.4047  10.3256  7.35019 -4.30835	1.65386e-10    -7.42653
0.140102	0.0267429  0.112306	  39.516  36.9111    10.74  7.32766 -4.26327	-4.01659e-10     -7.45625
0.141057	0.0263878  0.112313	 39.6219  37.2944  11.0459  7.30356 -4.23045	1.16428e-10    -7.48172
0.142173	0.025883 0.112324	  39.741  37.7277  11.4107  7.25987 -4.18617	-8.34326e-12     -7.51217
0.143094	0.0254164  0.112332	 39.8535  38.1282  11.7326  7.23768 -4.15209	-0 -0
0.144094	0.0252601  0.112339	39.8518 38.1709 11.8201 7.13708 -4.1104	4.2294e-11   -7.55134
0.145093	0.0246535  0.112351	 39.9833  38.6094  12.1393  7.18353 -4.08992	1.35365e-10    -7.56554
0.146076	0.02417 0.11236	40.0969 39.0075 12.4623 7.16058 -4.0554	-8.03718e-11     -7.59145
0.147099	0.0237966  0.112367	 40.1995  39.3662  12.7495   7.1382 -4.02555	2.82908e-10    -7.59393
