Timestep 	 x_error[2] 	 command torques[4]
0.176096	0.000698979 0.000645122	66.9592 37.1642 15.8955 4.61425
0.177131	0.000702913 0.000645559	66.9578 37.1634 15.8952 4.61416
0.178109	 0.00070722 0.000646027	66.9564 37.1626 15.8948 4.61405
0.179105	0.000710728 0.000646399	66.9552 37.1619 15.8945 4.61397
0.180104	0.000714997  0.00064684	66.9538 37.1611 15.8941 4.61388
0.181106	0.000718859  0.00064723	66.9526 37.1603 15.8938 4.61379
0.182104	0.000722703 0.000647608	66.9513 37.1596 15.8935  4.6137
0.183107	0.000726529 0.000647975	66.9501 37.1589 15.8932 4.61362
0.184104	0.000730338 0.000648332	66.9489 37.1582 15.8929 4.61353
0.185107	0.000734129 0.000648678	66.9477 37.1575 15.8926 4.61345
0.186059	0.000737902 0.000649013	66.9465 37.1568 15.8923 4.61337
0.187056	0.000741657 0.000649338	66.9453 37.1561  15.892 4.61329
0.188055	0.000745395 0.000649653	66.9442 37.1555 15.8917 4.61322
0.189055	0.000748743 0.000649927	66.9432 37.1549 15.8914 4.61315
0.190056	0.000752447 0.000650223	 66.942 37.1542 15.8912 4.61307
0.191055	0.000756132  0.00065051	66.9409 37.1536 15.8909   4.613
0.192055	  0.0007598 0.000650787	66.9398  37.153 15.8906 4.61292
0.193055	0.000763449 0.000651054	66.9387 37.1523 15.8903 4.61285
0.194056	0.000767081 0.000651312	66.9377 37.1517 15.8901 4.61278
0.195113	0.000770695 0.000651562	66.9366 37.1511 15.8898 4.61271
0.196106	 0.00077429 0.000651802	66.9356 37.1505 15.8896 4.61265
0.197105	0.000778225 0.000652057	66.9344 37.1498 15.8893 4.61257
0.198104	0.000781783 0.000652279	66.9334 37.1493  15.889 4.61251
0.199107	0.000785323 0.000652493	66.9324 37.1487 15.8888 4.61244
0.200108	0.000788845 0.000652698	66.9314 37.1481 15.8885 4.61238
0.201105	0.000792349 0.000652896	66.9304 37.1475 15.8883 4.61232
0.202062	0.000795836 0.000653086	66.9295  37.147 15.8881 4.61226
0.203097	0.000799304 0.000653267	66.9285 37.1464 15.8878  4.6122
0.204093	0.000802754 0.000653441	66.9276 37.1459 15.8876 4.61214
0.205112	0.000806187 0.000653608	66.9266 37.1454 15.8874 4.61208
0.206084	0.000809261 0.000653751	66.9258 37.1449 15.8872 4.61203
0.207082	0.000812659 0.000653904	66.9249 37.1443  15.887 4.61197
0.208085	 0.00081604 0.000654049	 66.924 37.1438 15.8868 4.61192
0.209082	0.000819402 0.000654187	66.9231 37.1433 15.8866 4.61187
0.21009	0.000822747 0.000654319	66.9222 37.1428 15.8863 4.61181
0.211106	0.000826074 0.000654443	66.9214 37.1423 15.8861 4.61176
0.212096	0.000829384 0.000654561	66.9205 37.1418 15.8859 4.61171
0.213106	0.000833004 0.000654684	66.9196 37.1413 15.8857 4.61166
0.214105	0.000836276 0.000654788	66.9187 37.1408 15.8855 4.61161
0.215104	 0.00083953 0.000654886	66.9179 37.1403 15.8853 4.61156
0.216107	0.000842767 0.000654978	66.9171 37.1399 15.8852 4.61151
0.217109	0.000845986 0.000655063	66.9163 37.1394  15.885 4.61147
0.218104	0.000849187 0.000655143	66.9155  37.139 15.8848 4.61142
0.219091	0.000852053  0.00065521	66.9148 37.1386 15.8846 4.61138
0.220093	0.000855221 0.000655279	 66.914 37.1381 15.8844 4.61134
0.221106	0.000858372 0.000655342	66.9133 37.1377 15.8843 4.61129
0.222093	0.000861504   0.0006554	66.9125 37.1373 15.8841 4.61125
0.223094	 0.00086462 0.000655452	66.9118 37.1368 15.8839 4.61121
0.22406	0.000867718 0.000655498	 66.911 37.1364 15.8838 4.61117
0.22512	0.000870799  0.00065554	66.9103  37.136 15.8836 4.61113
0.2261	0.000873862 0.000655577	66.9096 37.1356 15.8834 4.61109
0.227096	0.000876908 0.000655608	66.9089 37.1352 15.8833 4.61105
0.228092	0.000879936 0.000655635	66.9082 37.1348 15.8831 4.61101
0.229105	0.000883248 0.000655658	66.9074 37.1343  15.883 4.61097
0.230104	0.000886241 0.000655675	66.9067  37.134 15.8828 4.61094
0.231104	0.000889216 0.000655686	66.9061 37.1336 15.8827  4.6109
0.232107	0.000892174 0.000655694	66.9054 37.1332 15.8825 4.61087
0.233109	0.000895116 0.000655696	66.9048 37.1328 15.8824 4.61084
0.234106	 0.00089804 0.000655695	66.9041 37.1325 15.8822  4.6108
0.235104	0.000900947 0.000655689	66.9035 37.1321 15.8821 4.61077
0.236059	0.000903837 0.000655679	66.9028 37.1317  15.882 4.61074
0.237056	0.000906711 0.000655665	66.9022 37.1314 15.8818 4.61071
0.238098	0.000909283 0.000655649	66.9017 37.1311 15.8817 4.61068
0.239101	0.000912124 0.000655627	66.9011 37.1307 15.8816 4.61065
0.240099	0.000914949 0.000655601	66.9005 37.1304 15.8815 4.61062
0.241107	0.000917757 0.000655572	66.8999   37.13 15.8813 4.61059
0.242099	0.000920549 0.000655539	66.8993 37.1297 15.8812 4.61056
0.243102	0.000923324 0.000655502	66.8987 37.1294 15.8811 4.61054
0.244109	0.000926082 0.000655461	66.8981 37.1291  15.881 4.61051
0.245102	0.000928824 0.000655418	66.8976 37.1287 15.8809 4.61048
0.246093	0.00093155 0.00065537	 66.897 37.1284 15.8807 4.61046
0.247093	0.000934259  0.00065532	66.8965 37.1281 15.8806 4.61043
0.248093	0.000936952 0.000655266	66.8959 37.1278 15.8805 4.61041
0.249115	0.000939628 0.000655209	66.8954 37.1275 15.8804 4.61038
0.250093	0.000942289 0.000655149	66.8949 37.1272 15.8803 4.61036
0.25109	0.000944933 0.000655085	66.8943 37.1269 15.8802 4.61034
0.252059	0.000947561 0.000655019	66.8938 37.1266 15.8801 4.61031
0.253059	0.000950174  0.00065495	66.8933 37.1263   15.88 4.61029
