Timestep 	 x_error[2] 	 command torques[4] 	 f contact[2]
0.173057	0.0152556  0.112423	 47.1059  18.9342  6.55948 -3.41058	-1.78222e-10      -7.9906
0.174095	0.0149928  0.112428	 46.9339  18.8371  6.47269 -3.41891	2.01148e-10    -8.01769
0.175092	0.0147449  0.112433	 46.7632  18.7409  6.38653 -3.42703	-1.88329e-10     -8.04436
0.176094	0.0144966  0.112438	 46.5951  18.6461  6.30168 -3.43512	2.6087e-10   -8.07064
0.177109	0.0149507  0.112438	 46.4294  18.5526  6.21801 -3.44314	-3.87958e-10     -8.09654
0.178095	0.0144563  0.112449	46.1061   18.37  6.0547 -3.4592	9.04901e-12    -8.12255
0.179093	0.0141902  0.112454	 45.9472  18.2807  5.97438 -3.46671	3.03976e-10    -8.14722
0.180093	0.0139528  0.112459	 45.7902  18.1923    5.895 -3.47436	-3.18446e-11     -8.17172
0.181057	0.0132726  0.112465	 45.7902  18.1923    5.895 -3.47436	1.45962e-10    -8.19603
0.182094	0.0135007   0.11247	 45.4825  18.0188  5.73937 -3.48955	-2.56093e-10     -8.22003
0.183094	0.0132786  0.112475	 45.3318  17.9339  5.66313 -3.49701	-6.41841e-11     -8.24367
0.18406	0.0126221   0.11248	 45.3318  17.9339  5.66313 -3.49701	2.75746e-11    -8.26691
0.185059	0.0124116  0.112485	 45.1831    17.85   5.5879 -3.50452	9.2134e-12   -8.28991
0.186057	0.0122017   0.11249	 45.0364  17.7674  5.51366 -3.51187	3.60149e-10    -8.31251
0.187056	0.0120118  0.112495	 44.8904  17.6853  5.43971 -3.51893	-2.26752e-10     -8.33472
0.188056	0.0118135  0.112494	 44.7479  17.6051  5.36758 -3.52614	1.81236e-10    -8.52903
0.189056	0.0116105  0.112489	 44.8686  17.6608  5.43087 -3.53678	9.53408e-11    -8.52571
0.190057	 0.01139 0.112483	 44.7183  17.5761  5.35573 -3.54369	2.24616e-10    -8.54861
0.191057	0.0112115  0.112478	 44.5667  17.4911   5.2798 -3.55011	8.62321e-11    -8.57115
0.192057	0.0110182  0.112473	 44.4188  17.4078  5.20577 -3.55675	3.36134e-10    -8.59342
0.193056	0.0108296  0.112468	  44.273  17.3258  5.13278 -3.56333	-3.36891e-11     -8.61533
0.194105	0.010658 0.112463	 44.1297  17.2451  5.06105 -3.56994	      -0 -8.63691
